product_id,price,platform,discount_type,promotion_info,date,is_stock_available,seller_info,monthly_sales
iphone_15_pro_256,9999,jd,无优惠,首发价,2024-01-15,是,Apple官方旗舰店,5000
iphone_15_pro_256,9499,jd,限时优惠,新年特惠,2024-01-20,是,Apple官方旗舰店,7500
iphone_15_pro_256,8999,jd,满减优惠,618大促,2024-06-18,是,Apple官方旗舰店,15000
iphone_15_pro_256,8599,jd,店铺优惠券,店铺活动,2024-09-01,是,Apple官方旗舰店,8000
iphone_15_pro_256,8999,taobao,无优惠,日常价,2024-01-16,是,天猫Apple Store,6000
iphone_15_pro_256,9299,taobao,平台优惠,年货节,2024-02-01,是,天猫Apple Store,8500
iphone_15_pro_256,8799,taobao,满减优惠,618大促,2024-06-18,是,天猫Apple Store,12000
iphone_15_pro_256,8499,taobao,店铺优惠券,双11预售价,2024-11-01,是,天猫Apple Store,18000
xiaomi14_256,4699,pdd,无优惠,首发价,2024-02-01,是,小米官方旗舰店,8000
xiaomi14_256,4299,pdd,百亿补贴,百亿补贴,2024-02-10,是,小米官方旗舰店,12000
xiaomi14_256,4199,pdd,限时秒杀,品牌日活动,2024-03-15,是,小米官方旗舰店,9500
xiaomi14_256,3999,pdd,大促优惠,618大促,2024-06-18,是,小米官方旗舰店,20000
xiaomi14_256,4599,jd,无优惠,日常价,2024-02-02,是,小米京东自营旗舰店,7000
xiaomi14_256,4399,jd,限时优惠,开学季特惠,2024-03-01,是,小米京东自营旗舰店,9000
xiaomi14_256,4099,jd,满减优惠,618大促,2024-06-18,是,小米京东自营旗舰店,16000
xiaomi14_256,4299,jd,店铺优惠券,返校季,2024-09-01,是,小米京东自营旗舰店,8500
huawei_p60_pro,7988,suning,无优惠,首发价,2024-01-20,是,华为苏宁旗舰店,6000
huawei_p60_pro,7688,suning,限时优惠,新年特惠,2024-01-25,是,华为苏宁旗舰店,7500
huawei_p60_pro,6988,suning,满减优惠,618大促,2024-06-18,是,华为苏宁旗舰店,15000
huawei_p60_pro,7288,suning,平台优惠,818购物节,2024-08-18,是,华为苏宁旗舰店,9000
macbook_air_m2,8999,jd,无优惠,日常价,2024-01-10,是,Apple京东自营旗舰店,4000
macbook_air_m2,8799,jd,教育优惠,开学季特惠,2024-02-20,是,Apple京东自营旗舰店,5500
macbook_air_m2,7999,jd,满减优惠,618大促,2024-06-18,是,Apple京东自营旗舰店,12000
macbook_air_m2,8499,jd,店铺优惠券,返校季,2024-09-01,是,Apple京东自营旗舰店,6500
ipad_air_5,4799,taobao,无优惠,日常价,2024-01-18,是,天猫Apple Store,3000
ipad_air_5,4599,taobao,限时优惠,新年特惠,2024-02-01,是,天猫Apple Store,4200
ipad_air_5,4399,taobao,满减优惠,618大促,2024-06-18,是,天猫Apple Store,8500
ipad_air_5,4199,taobao,平台优惠,双11全球狂欢节,2024-11-11,是,天猫Apple Store,15000
apple_watch_s9,3299,jd,无优惠,首发价,2024-01-15,是,Apple京东自营旗舰店,6000
apple_watch_s9,3099,jd,限时优惠,新年特惠,2024-01-25,是,Apple京东自营旗舰店,7500
apple_watch_s9,2999,jd,满减优惠,618大促,2024-06-18,是,Apple京东自营旗舰店,12000
apple_watch_s9,2899,jd,店铺优惠券,返校季,2024-09-10,是,Apple京东自营旗舰店,8000
airpods_pro_2,1999,taobao,无优惠,日常价,2024-01-20,是,天猫Apple Store,8000
airpods_pro_2,1899,taobao,限时优惠,新年特惠,2024-02-01,是,天猫Apple Store,9500
airpods_pro_2,1799,taobao,满减优惠,618大促,2024-06-18,是,天猫Apple Store,18000
airpods_pro_2,1699,taobao,平台优惠,双11预售价,2024-11-01,是,天猫Apple Store,22000
xiaomi_pad_6,2299,pdd,无优惠,首发价,2024-02-20,是,小米官方旗舰店,5000
xiaomi_pad_6,2099,pdd,百亿补贴,百亿补贴,2024-03-01,是,小米官方旗舰店,7500
xiaomi_pad_6,1999,pdd,大促优惠,618大促,2024-06-18,是,小米官方旗舰店,12000
xiaomi_pad_6,2199,pdd,限时秒杀,品牌日活动,2024-09-01,是,小米官方旗舰店,6000
huawei_freebuds,1299,jd,无优惠,日常价,2024-02-12,是,华为京东自营旗舰店,3000
huawei_freebuds,1199,jd,限时优惠,新品特惠,2024-03-01,是,华为京东自营旗舰店,4500
huawei_freebuds,1099,jd,满减优惠,618大促,2024-06-18,是,华为京东自营旗舰店,8000
huawei_freebuds,999,jd,店铺优惠券,暑假特惠,2024-07-15,是,华为京东自营旗舰店,6000
samsung_s24,6499,taobao,无优惠,日常价,2024-02-10,是,三星官方旗舰店,4000
samsung_s24,6299,taobao,限时优惠,开学季特惠,2024-03-01,是,三星官方旗舰店,5500
samsung_s24,5999,taobao,满减优惠,618大促,2024-06-18,是,三星官方旗舰店,9000
samsung_s24,5799,taobao,平台优惠,双11全球狂欢节,2024-11-11,是,三星官方旗舰店,12000
lenovo_yoga,10999,jd,无优惠,日常价,2024-02-08,是,联想京东自营旗舰店,2000
lenovo_yoga,10499,jd,限时优惠,春季特惠,2024-03-15,是,联想京东自营旗舰店,2800
lenovo_yoga,9999,jd,满减优惠,618大促,2024-06-18,是,联想京东自营旗舰店,5000
lenovo_yoga,10299,jd,店铺优惠券,返校季,2024-09-01,是,联想京东自营旗舰店,2500
vivo_x100,3999,jd,无优惠,日常价,2024-02-18,是,Vivo京东自营旗舰店,6000
vivo_x100,3799,jd,限时优惠,新品特惠,2024-03-01,是,Vivo京东自营旗舰店,7500
vivo_x100,3699,jd,满减优惠,618大促,2024-06-18,是,Vivo京东自营旗舰店,10000
vivo_x100,3599,jd,店铺优惠券,暑假特惠,2024-07-20,是,Vivo京东自营旗舰店,8000
oppo_find_x7,4499,taobao,无优惠,日常价,2024-02-15,是,OPPO官方旗舰店,5000
oppo_find_x7,4299,taobao,限时优惠,春季特惠,2024-03-20,是,OPPO官方旗舰店,6500
oppo_find_x7,3999,taobao,满减优惠,618大促,2024-06-18,是,OPPO官方旗舰店,9000
oppo_find_x7,3899,taobao,平台优惠,双11预售价,2024-11-01,是,OPPO官方旗舰店,11000